season,venue,winner_runs,umpire2,toss_winner,date,umpire1,city,winner,method,team1,toss_decision,team2,winner_wickets,tv_umpire,player_of_match,match_number,id
2007/08,M Chinnaswamy Stadium,140,RE Koertzen,Royal Challengers Bangalore,18-04-2008,Asad Rauf,Bangalore,Kolkata Knight Riders,,Royal Challengers Bangalore,field,Kolkata Knight Riders,,AM Saheba,BB McCullum,1,335982
2007/08,"Punjab Cricket Association Stadium, Mohali",33,SL Shastri,Chennai Super Kings,19-04-2008,MR Benson,Chandigarh,Chennai Super Kings,,Kings XI Punjab,bat,Chennai Super Kings,,RB Tiffin,MEK Hussey,2,335983
2007/08,Feroz Shah Kotla,,GA Pratapkumar,Rajasthan Royals,19-04-2008,Aleem Dar,Delhi,Delhi Daredevils,,Delhi Daredevils,bat,Rajasthan Royals,9,IL Howell,MF Maharoof,3,335984
2007/08,Eden Gardens,,K Hariharan,Deccan Chargers,20-04-2008,BF Bowden,Kolkata,Kolkata Knight Riders,,Kolkata Knight Riders,bat,Deccan Chargers,5,Asad Rauf,DJ Hussey,4,335986
2007/08,Wankhede Stadium,,DJ Harper,Mumbai Indians,20-04-2008,SJ Davis,Mumbai,Royal Challengers Bangalore,,Mumbai Indians,bat,Royal Challengers Bangalore,5,AV Jayaprakash,MV Boucher,5,335985
2007/08,Sawai Mansingh Stadium,,RB Tiffin,Kings XI Punjab,21-04-2008,Aleem Dar,Jaipur,Rajasthan Royals,,Rajasthan Royals,bat,Kings XI Punjab,6,I Shivram,SR Watson,6,335987
2007/08,"Rajiv Gandhi International Stadium, Uppal",,AM Saheba,Deccan Chargers,22-04-2008,IL Howell,Hyderabad,Delhi Daredevils,,Deccan Chargers,bat,Delhi Daredevils,9,MR Benson,V Sehwag,7,335988
2007/08,"MA Chidambaram Stadium, Chepauk",6,GA Pratapkumar,Mumbai Indians,23-04-2008,DJ Harper,Chennai,Chennai Super Kings,,Chennai Super Kings,field,Mumbai Indians,,BF Bowden,ML Hayden,8,335989
2007/08,"Rajiv Gandhi International Stadium, Uppal",,MR Benson,Rajasthan Royals,24-04-2008,Asad Rauf,Hyderabad,Rajasthan Royals,,Deccan Chargers,field,Rajasthan Royals,3,SL Shastri,YK Pathan,9,335990
2007/08,"Punjab Cricket Association Stadium, Mohali",66,AM Saheba,Mumbai Indians,25-04-2008,Aleem Dar,Chandigarh,Kings XI Punjab,,Kings XI Punjab,field,Mumbai Indians,,RE Koertzen,KC Sangakkara,10,335991
2007/08,"MA Chidambaram Stadium, Chepauk",,AV Jayaprakash,Kolkata Knight Riders,26-04-2008,BF Bowden,Chennai,Chennai Super Kings,,Chennai Super Kings,bat,Kolkata Knight Riders,9,SJ Davis,JDP Oram,11,335993
2007/08,M Chinnaswamy Stadium,,IL Howell,Rajasthan Royals,26-04-2008,MR Benson,Bangalore,Rajasthan Royals,,Royal Challengers Bangalore,field,Rajasthan Royals,7,GA Pratapkumar,SR Watson,12,335992
2007/08,Dr DY Patil Sports Academy,,SL Shastri,Deccan Chargers,27-04-2008,Asad Rauf,Mumbai,Deccan Chargers,,Mumbai Indians,field,Deccan Chargers,10,DJ Harper,AC Gilchrist,14,335994
2007/08,"Punjab Cricket Association Stadium, Mohali",,I Shivram,Delhi Daredevils,27-04-2008,RE Koertzen,Chandigarh,Kings XI Punjab,,Kings XI Punjab,bat,Delhi Daredevils,4,Aleem Dar,SM Katich,13,335995
2007/08,M Chinnaswamy Stadium,13,RB Tiffin,Chennai Super Kings,28-04-2008,BR Doctrove,Bangalore,Chennai Super Kings,,Royal Challengers Bangalore,bat,Chennai Super Kings,,K Hariharan,MS Dhoni,15,335996
2007/08,Eden Gardens,,AV Jayaprakash,Kolkata Knight Riders,29-04-2008,BF Bowden,Kolkata,Mumbai Indians,,Kolkata Knight Riders,bat,Mumbai Indians,7,MR Benson,ST Jayasuriya,16,335997
2007/08,Feroz Shah Kotla,10,I Shivram,Royal Challengers Bangalore,30-04-2008,Aleem Dar,Delhi,Delhi Daredevils,,Delhi Daredevils,field,Royal Challengers Bangalore,,IL Howell,GD McGrath,17,335998
2007/08,"Rajiv Gandhi International Stadium, Uppal",,RB Tiffin,Kings XI Punjab,01-05-2008,BR Doctrove,Hyderabad,Kings XI Punjab,,Deccan Chargers,field,Kings XI Punjab,7,SJ Davis,SE Marsh,19,335999
2007/08,Sawai Mansingh Stadium,45,GA Pratapkumar,Rajasthan Royals,01-05-2008,RE Koertzen,Jaipur,Rajasthan Royals,,Rajasthan Royals,bat,Kolkata Knight Riders,,Asad Rauf,SA Asnodkar,18,336000
2007/08,"MA Chidambaram Stadium, Chepauk",,K Hariharan,Chennai Super Kings,02-05-2008,BF Bowden,Chennai,Delhi Daredevils,,Chennai Super Kings,bat,Delhi Daredevils,8,MR Benson,V Sehwag,20,336001
2007/08,M Chinnaswamy Stadium,3,SL Shastri,Deccan Chargers,03-05-2008,BR Doctrove,Bangalore,Royal Challengers Bangalore,,Royal Challengers Bangalore,field,Deccan Chargers,,SK Tarapore,P Kumar,21,336034
2007/08,"Punjab Cricket Association Stadium, Mohali",9,I Shivram,Kings XI Punjab,03-05-2008,DJ Harper,Chandigarh,Kings XI Punjab,,Kings XI Punjab,bat,Kolkata Knight Riders,,SJ Davis,IK Pathan,22,336003
2007/08,Dr DY Patil Sports Academy,29,RE Koertzen,Delhi Daredevils,04-05-2008,IL Howell,Mumbai,Mumbai Indians,,Mumbai Indians,field,Delhi Daredevils,,BF Bowden,SM Pollock,23,336004
2007/08,Sawai Mansingh Stadium,,AV Jayaprakash,Chennai Super Kings,04-05-2008,Asad Rauf,Jaipur,Rajasthan Royals,,Rajasthan Royals,bat,Chennai Super Kings,8,Aleem Dar,Sohail Tanvir,24,336005
2007/08,M Chinnaswamy Stadium,,BR Doctrove,Kings XI Punjab,05-05-2008,SJ Davis,Bangalore,Kings XI Punjab,,Royal Challengers Bangalore,field,Kings XI Punjab,6,SL Shastri,S Sreesanth,25,336006
2007/08,"MA Chidambaram Stadium, Chepauk",,RB Tiffin,Deccan Chargers,06-05-2008,MR Benson,Chennai,Deccan Chargers,,Chennai Super Kings,field,Deccan Chargers,7,S Ravi,AC Gilchrist,26,336007
2007/08,Dr DY Patil Sports Academy,,RE Koertzen,Mumbai Indians,07-05-2008,DJ Harper,Mumbai,Mumbai Indians,,Mumbai Indians,field,Rajasthan Royals,7,BF Bowden,A Nehra,27,336008
2007/08,Eden Gardens,5,IL Howell,Kolkata Knight Riders,08-05-2008,Asad Rauf,Kolkata,Kolkata Knight Riders,,Kolkata Knight Riders,bat,Royal Challengers Bangalore,,BR Doctrove,SC Ganguly,29,336010
2007/08,Feroz Shah Kotla,,RB Tiffin,Chennai Super Kings,08-05-2008,Aleem Dar,Delhi,Chennai Super Kings,,Delhi Daredevils,field,Chennai Super Kings,4,K Hariharan,MS Dhoni,28,336009
2007/08,Sawai Mansingh Stadium,,AM Saheba,Rajasthan Royals,09-05-2008,MR Benson,Jaipur,Rajasthan Royals,,Rajasthan Royals,field,Deccan Chargers,8,SJ Davis,YK Pathan,30,336011
2007/08,"MA Chidambaram Stadium, Chepauk",18,BG Jerling,Kings XI Punjab,10-05-2008,AV Jayaprakash,Chennai,Chennai Super Kings,,Chennai Super Kings,field,Kings XI Punjab,,I Shivram,L Balaji,31,336013
